section,subsection,item_number,name,traditional_name,description,price
Modern Indian Signatures,,1,24 Carat Truffle Mousse Bites,24 Carat Truffle Mousse,,
Modern Indian Signatures,,2,Baingan Bharta Cornetto Delight,Baingan Bharta Cornetto,,
Modern Indian Signatures,,3,Beetroot Royal Tikki,Beetroot Tikki,,
Modern Indian Signatures,,4,Papad Pesto Paneer Roll,Creamy Papad Roll with Basil Pesto Paneer,,
Modern Indian Signatures,,5,Dal Makhani Fondue Pot,Dal Makhani Fondue,,
Modern Indian Signatures,,6,Green Apple Fusion Tikki,Green Apple Tikki,,
Modern Indian Signatures,,7,Kaffir Lime Pav & Ricotta Vada,Kaffir Lime Pav & Ricotta Vada,,
Modern Indian Signatures,,8,Paneer Khurchan Golgappa Shots,Paneer Khurchan Golgappe,,
Modern Indian Signatures,,9,Panko Achari Mirchi Crisp,Panko Crusted Bharwan Achari Mirchi,,
Modern Indian Signatures,,10,Pav Bhaji Fondue Delight,Pav Bhaji Fondue,,
Modern Indian Signatures,,11,Polenta Malai Corn Crunch,Polenta Crusted Malai Corn,,
Modern Indian Signatures,,12,Kathal Taco Fusion,Pulled Kathal Phulka Tacos,,
Modern Indian Signatures,,13,Deconstructed Paneer Pasanda,Reconstructed Paneer Pasanda,,
Modern Indian Signatures,,14,Tofu Coriander Vadai Bites,Tofu & Coriander Vadai,,
The World Plate Collection,,1,Classic Salted French Fries,American Salted French Fry,,
The World Plate Collection,,2,Italian Arancini Bites,Arancini Rice Balls,,
The World Plate Collection,,3,Mexican Taco Assortment,Assorted Mexican Tacos,,
The World Plate Collection,,4,Falafel Stuffed Mini Pita,Baby Pita Stuffed with Falafel,,
The World Plate Collection,,5,Baked Béchamel Tartlets,Baked Béchamel Tarts,,
Taste of Europe,,1,Baked Corn Puff Delight,Baked Corn Puff,,
Taste of Europe,,2,Cheese Corn Golden Balls,Cheese Corn Balls,,
Taste of Europe,,3,Cheese Corn Nugget Bites,Cheese Corn Nuggets,,
Taste of Europe,,4,Swiss Cheese Fondue Classic,Classic Swiss Fondue,,
Taste of Europe,,5,Continental Paneer Crisp,Conti Paneer Crisp,,
Taste of Europe,,6,French Croquette Bites,French Croquettes,,
Taste of Europe,,7,Loaded Nachos Platter,Lazy Nachos Platter,,
Taste of Europe,,8,Arrabbiata Tartlets,Mini Arrabbiata Tarts,,
Taste of Europe,,9,Mushroom Bruschetta Classic,Mushroom Bruschetta,,
Taste of Europe,,10,Savoury Mushroom Tart,Mushroom Tart,,
Taste of Europe,,11,Cheddar Nachos Crunch Balls,Nachos Crusted Cheddar Balls,,
Taste of Europe,,12,Peri Peri Fries,Peri Peri French Fry,,
Taste of Europe,,13,Fresh Salsa Cone Cups,Salsa Fresh Cone,,
Taste of Europe,,14,Sicilian Bruschetta Bites,Sicilian Bruschetta,,
The Tandoor Creations,,1,Afghan Malai Chaap Royale,Afghan Malai Chaap,,
The Tandoor Creations,,2,Angari Paneer Tikka,Angari Paneer Tikka,,
The Tandoor Creations,,3,Angari Soya Chaap,Angari Soya Chaap,,
The Tandoor Creations,,4,Broccoli Malai Tikka,Broccoli Malai Tikka,,
The Tandoor Creations,,5,Candy Glazed Kebab,Candy Kebab,,
The Tandoor Creations,,6,Dry Fruit Shami Kebab,Dry Fruit Shami Kebab,,
The Tandoor Creations,,7,Exotic Veg Satay Skewers,Exotic Veg Satay Stick,,
The Tandoor Creations,,8,Haryali Kebab Delight,Haryali Kebab,,
The Tandoor Creations,,9,Kalmi Style Veg Kebab,Kalmi Kebab,,
The Tandoor Creations,,10,Kasturi Infused Kebab,Kasturi Kebab,,
The Tandoor Creations,,11,Malai Paneer Tikka Royale,Malai Paneer Tikka,,
The Tandoor Creations,,12,Tandoori Kathal Masala,Masala Tandoori Kathal,,
The Tandoor Creations,,13,Paneer Shashlik Skewers,Paneer Shashlik,,
The Tandoor Creations,,14,Pudina Paneer Tikka,Pudina Paneer Tikka,,
The Tandoor Creations,,15,Roasted Apple Infusion,Roasted Apple,,
The Tandoor Creations,,16,Roasted Cauliflower Spice,Roasted Cauliflower,,
The Tandoor Creations,,17,Roasted Guava Twist,Roasted Guava,,
The Tandoor Creations,,18,Roasted Pineapple Glaze,Roasted Pineapple,,
The Tandoor Creations,,19,Roasted Shakarkandi Delight,Roasted Shakarkandi,,
The Tandoor Creations,,20,Shikhampuri Kebab Classic,Shikhampuri Kebab,,
The Tandoor Creations,,21,Stuffed Jacket Potato Bites,Stuffed Jacket Potato,,
The Tandoor Creations,,22,Tandoori Aloo Delight,Tandoori Aloo,,
The Tandoor Creations,,23,Tandoori Mushroom Bites,Tandoori Mushroom,,
The Tandoor Creations,,24,Veg Galouti Melt Kebab,Veg Galouti Kebab,,
The Tandoor Creations,,25,Veg Gola Kebab,Veg Gola Kebab,,
The Tandoor Creations,,26,Veg Seekh Kebab Royale,Veg Seekh Kebab,,
Indian Culinary Heirlooms,,1,Aloo Matar Kofta Royale,Aloo Matar Kofta,,
Indian Culinary Heirlooms,,2,Assorted Pakora Platter,Assorted Pakoras,,
Indian Culinary Heirlooms,,3,Mini Dal Kachori Bites,Dal Ki Kachori – Mini,,
Indian Culinary Heirlooms,,4,Dal Pakori Delight,Dal Ki Pakori,,
Indian Culinary Heirlooms,,5,Kalmi Bada Classic,Kalmi Bada,,
Indian Culinary Heirlooms,,6,Khandvi Silk Rolls,Khandvi Roll,,
Indian Culinary Heirlooms,,7,Matar Samosa Bites,Matar Ka Samosa,,
Indian Culinary Heirlooms,,8,Matar Potli Parcels,Matar Potli,,
Indian Culinary Heirlooms,,9,Mini Idli Tempered Bites,Mini Idli,,
Indian Culinary Heirlooms,,10,Moong Moth Softy Chaat,Moong Moth Softy,,
Indian Culinary Heirlooms,,11,Paneer Pakora Crisp,Paneer Pakora,,
Indian Culinary Heirlooms,,12,Classic Samosa,Samosa,,
Indian Culinary Heirlooms,,13,Tamatar Kofta Curry Bites,Tamatar Kofta,,
The Dessert Edit,,1,Assorted Sandesh Collection,Assorted Sandesh,,
The Dessert Edit,,2,Assorted Dessert Tartlets,Assorted Tarts,,
The Dessert Edit,,3,Badam Pista Mini Katli Bites,Badam Pista Mini Katli,,
The Dessert Edit,,4,Chenna Delight Bites,Chenna Murgi,,
The Dessert Edit,,5,Coconut Bengali Rolls,Coconut Bengali Roll,,
The Dessert Edit,,6,Golden Fried Dry Fruits,Fried Dry Fruits,,
The Dessert Edit,,7,Kaccha Gulla Classic,Kaccha Gulla,,
The Dessert Edit,,8,Kaju Anjeer Royal Rolls,Kaju Anjeer Roll,,
The Dessert Edit,,9,Kaju Pista Kalash Delight,Kaju Pista Kalash,,
The Dessert Edit,,10,Kaju Pista Royal Rolls,Kaju Pista Roll,,
The Dessert Edit,,11,Kesaria Angoor Delight,Kesaria Angoor,,
The Dessert Edit,,12,Malai Paan Mini Delight,Malai Pan Mini Hara Chola,,
The Dessert Edit,,13,Mini Kesar Barfi Bites,Mini Kesar Barfi,,
The Dessert Edit,,14,Mini Mawa Peda Classic,Mini Mawa Peda,,
The Dessert Edit,,15,Munakka Badam Indulgence,Munakka Badam,,
The Dessert Edit,,16,Petha Pista Royal Rolls,Petha Pista Roll,,
The Dessert Edit,,17,Pista Badam Energy Bites,Pista Badam Ball,,
The Dessert Edit,,18,Pista Badam Coin Bites,Pista Badam Coin,,
The Dessert Edit,,19,Pista Delight Balls,Pista Ball,,
The Dessert Edit,,20,Pista Fancy Dessert,Pista Fancy,,
The Dessert Edit,,21,Pista Lounge Signature,Pista Lounge,,
The Dessert Edit,,22,Pista Softy Cream,Pista Softy,,
The Dessert Edit,,23,Dry Fruit Mini Barfi Assortment,"Pista, Badam, Kaju Mini Barfi",,
The Dessert Edit,,24,Roasted Dry Fruit Selection,Roasted Dry Fruits,,
The Dessert Edit,,25,Stuffed Almond Khajoor Delights,Stuffed Almond Khajoor,,
The Dessert Edit,,26,Stuffed Lychee Bites,Stuffed Lychee,,
The Dessert Edit,,27,Stuffed Paan Indulgence,Stuffed Paan,,
The Chilled Edit,,1,Ash Roasted Sweet Potato Canapés,Sweet Potato Canapés with honey & yogurt salsa,,
The Chilled Edit,,2,Avocado Cucumber Summer Rolls,Cucumber & Avocado Summer Rolls,,
The Chilled Edit,,3,Fresh Garden Cucumber Wrap,Cucumber Wrap,,
The Chilled Edit,,4,Chilli Infused Watermelon Pearls,Chilli Watermelon Balls,,
The Chilled Edit,,5,Courgette & Potato Crisp Cakes,Crispy Courgettes & Potato Cakes,,
The Chilled Edit,,6,Hoisin Aubergine & Silken Tofu,Hoisin Aubergine & Silken Tofu,,
The Chilled Edit,,7,Lychee Prune Stuffed Bites,Lychee Stuffed with Prune,,
The Chilled Edit,,8,Pimento & Asparagus Cheese Pockets,Pimento Pockets,,
The Chilled Edit,,9,Pomegranate Hummus Mushroom Cups,Pomegranate Hummus,,
The Chilled Edit,,10,Watermelon Feta Skewers,Watermelon & Feta Cheese Skewers,,
The Chilled Edit,,11,Classic Hummus Mezze,"Hummus with Chickpeas, Garlic, Cumin & Tahini",,
The Chilled Edit,,12,Olive & Manchego Platter,Olives & Manchego,,
The Chilled Edit,,13,Patatas Bravas Classic,Patatas Bravas,,
The Chilled Edit,,14,Feta Stuffed Bell Peppers,Stuffed Bell Peppers,,
The Chilled Edit,,15,Tomato & Red Pepper Crostini,Tomato & Red Pepper with parmesan croutons,,
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),1,Jeweled Crisp Tokri with Spiced Potato Mosaic,Tokri Chat,"Delicate basket layered with chutneys, yogurt espuma, and fine sev textures.",
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),2,Imperial Raj Kachori Grandeur,,"Handcrafted kachori filled with curated layers of lentils, yogurt, and royal chutneys.",
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),3,Heritage Papdi Chaat Ensemble,,"Golden crisps adorned with velvety curd, tamarind reduction, and herb dust.",
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),4,Awadhi Silk Dahi Bhalla,,Cloud-soft lentil dumplings resting in chilled yogurt with subtle spice infusions.,
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),5,Artisan Dahi Puri Bites,,"Crisp shells filled with spiced potato, yogurt cream, and signature chutney pearls.",
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),6,Kashi Jal Tarang — Flavoured Pani Puri Tasting,,A connoisseur's selection of infused waters paired with crisp puris.,
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),7,Lucknowi Heritage Aloo Tikki,,Golden seared potato galettes finished with yogurt glaze and chutney drizzle.,
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),8,Awadh Chole Tikki Symphony,,"Slow-cooked chickpeas paired with crisp tikkis in a rich, layered presentation.",
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),9,Banarasi Spiced Tomato Relish Chaat,,"Warm, slow-reduced tomato chaat with bold Banarasi tempering.",
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),10,Banaras White Pea Medley Chaat,,Delicately spiced matar finished with citrus and fresh herbs.,
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),11,Kashi Khasta Potato Indulgence,,Crisp potatoes tossed in signature spice blend and lemon essence.,
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),12,Earthen Kulhad Layered Chaat Experience,,Rustic clay-served chaat with layered textures and traditional flavours.,
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),13,Agra Bedai Kachori Heritage Plate,,Flaky kachori paired with spiced aloo gravy in classic Agra style.,
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),14,Taj Nagari Spiced Aloo Ras,,Silky potato curry infused with traditional royal spices.,
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),15,Agra Dalmoth Crunch Mélange,,Textured dalmoth blend elevated with chutneys and fresh garnish.,
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),16,Tangy Arbi Kachalu Indulgence,,"Spiced colocasia tossed with lime, chutneys, and aromatic masalas.",
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),17,Mughlai Charred Paneer Chaat,,Smoky paneer tikka layered with rich chutneys and creamy textures.,
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),18,Braj Spiced Aloo Classic,,Simple yet indulgent potato chaat inspired by temple-town flavours.,
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),19,Mathura Kachori Aloo Heritage Bowl,,Traditional kachori paired with flavourful aloo sabzi and chutneys.,
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),20,Braj Dahi Jalebi Fusion,,Warm jalebi paired with chilled yogurt for a refined sweet contrast.,
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),21,Makhan Mishri Fruit Indulgence,,Seasonal fruits elevated with divine makhan mishri essence.,
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),22,Chhena Mewa Royal Delight,,Soft chhena with dry fruits and subtle sweetness.,
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),23,Crisp Julienne Potato Chaat,,Fine-cut potatoes fried to perfection with signature spice dust.,
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),24,Corn & Spinach Delicacy Chaat,,Sweet corn and crisp palak layered with chutneys and textures.,
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),25,Golden Moong Dal Pakodi Indulgence,,"Lentil fritters finished with yogurt, chutneys, and spice dust.",
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),26,Classic Spiced Chickpea Chaat,,"Robust chana tossed with herbs, citrus, and house spices.",
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),27,Nawabi Samosa Crush Chaat,,"Flaky samosa layered with chole, yogurt, and chutney glaze.",
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),28,Crisp Spinach Leaf Royale,,"Tempura-style palak topped with yogurt, chutneys, and crunch.",
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),29,Pomegranate Citrus Fruit Chaat,,Fresh fruits enhanced with anardana and citrus zest.,
The Great Indian Chaat Experience,The Nawabi Chaat Atelier (Signature Curations),30,Garden Sprout & Herb Chaat,,Wholesome sprouts tossed with fresh herbs and lemon dressing.,
The Great Indian Chaat Experience,Delhi Chaat Darbar (The Imperial Capital Collection),1,Imperial Raj Kachori of Delhi Darbar,,"Grand crisp kachori filled with layered lentils, yogurt cream, and signature chutney infusion.",
The Great Indian Chaat Experience,Delhi Chaat Darbar (The Imperial Capital Collection),2,Chandni Chowk Papdi Chaat Ensemble,,"Golden crisps layered with velvety yogurt, tamarind reduction, and fresh herb accents.",
The Great Indian Chaat Experience,Delhi Chaat Darbar (The Imperial Capital Collection),3,Delhi Nazakat Dahi Bhalla,,Silken lentil dumplings immersed in chilled yogurt with delicate spice notes.,
The Great Indian Chaat Experience,Delhi Chaat Darbar (The Imperial Capital Collection),4,Zayka Dilli Dahi Puri Bites,,"Crisp puris filled with spiced potatoes, yogurt espuma, and chutney pearls.",
The Great Indian Chaat Experience,Delhi Chaat Darbar (The Imperial Capital Collection),5,Delhi Jaljeera Pani Puri Tasting Experience,,A curated selection of flavoured waters served with crisp puris and signature fillings.,
The Great Indian Chaat Experience,Delhi Chaat Darbar (The Imperial Capital Collection),6,Chandni Chowk Heritage Aloo Tikki,,Golden seared potato patties finished with yogurt glaze and bold chutneys.,
The Great Indian Chaat Experience,Delhi Chaat Darbar (The Imperial Capital Collection),7,Delhi Chole Tikki Symphony,,"Slow-simmered chole paired with crisp tikkis in a rich, layered presentation.",
The Great Indian Chaat Experience,Delhi Chaat Darbar (The Imperial Capital Collection),8,Purani Dilli Samosa Chaat Indulgence,,"Flaky samosas crushed and elevated with chole, yogurt, and chutney glaze.",
The Great Indian Chaat Experience,Delhi Chaat Darbar (The Imperial Capital Collection),9,Shahi Palak Patta Royale,,"Crisp spinach leaves topped with yogurt, chutneys, and fine crunchy textures.",
The Great Indian Chaat Experience,Delhi Chaat Darbar (The Imperial Capital Collection),10,Daulat Ki Chaat — Winter Cloud Dessert,,"Delhi's iconic airy foam delicacy, delicately sweet and melt-in-mouth.",
