RAJ AANGAN EVENTS & CATERERS,,,
,Signature Dining Menu,Royal Feast,Elite Experience
,,Caramel Almond Milk Shake (Creamy milk blended with buttery caramel and roasted almonds for a smooth gourmet indulgence.),Kaju Draksh Delight (A wholesome blend of cashews and raisins creating a rich and nourishing milkshake.)
Crafted Mocktail Infusion,Choose Any 2,Choose Any 3,Choose Any 4
,Pink Lady Refresher (A vibrant blend of citrus and berry flavours crafted into a delightfully refreshing cooler.),Pink Lady Refresher (A vibrant blend of citrus and berry flavours crafted into a delightfully refreshing cooler.),Classic Aerated Refreshers (A refreshing assortment of chilled aerated beverages served ice-cold for instant refreshment.)
,"Orange Sunrise (Fresh orange juice blended into a bright, citrusy cooler with a naturally refreshing finish.)","Orange Sunrise (Fresh orange juice blended into a bright, citrusy cooler with a naturally refreshing finish.)","Blue Lagoon Splash (A vibrant blue citrus cooler offering a crisp, refreshing, and tropical experience.)"
,Watermelon Breeze (Seasonal) (Juicy seasonal watermelon infused with cooling notes for a light and revitalising summer refresher.),Watermelon Breeze (Seasonal) (Juicy seasonal watermelon infused with cooling notes for a light and revitalising summer refresher.),Rose Sattu Cooler (Traditional roasted sattu blended with fragrant rose for a wholesome and refreshing drink.)
,"Kiwi Mint Cooler (Exotic kiwi blended with fresh mint for a crisp, refreshing, and tropical delight.)","Kiwi Mint Cooler (Exotic kiwi blended with fresh mint for a crisp, refreshing, and tropical delight.)",Fresh Lime Sparkler (Freshly squeezed lime blended with sparkling soda for a crisp and zesty cooler.)
,"Lychee Sparkle (Sweet lychee flavours combined into a refreshing cooler with a smooth, fruity finish.)","Lychee Sparkle (Sweet lychee flavours combined into a refreshing cooler with a smooth, fruity finish.)",Tropical Fruit Punch (A vibrant medley of tropical fruits crafted into a refreshing and flavourful punch.)
,Cranberry Cooler (Tangy cranberry blended into a refreshing beverage with a perfectly balanced sweet-tart taste.),Cranberry Cooler (Tangy cranberry blended into a refreshing beverage with a perfectly balanced sweet-tart taste.),Green Island Refresher (A refreshing blend of citrus and mint with vibrant tropical notes.)
,Pineapple Ginger Fizz (Juicy pineapple infused with a hint of ginger for a vibrant tropical cooler.),Pineapple Ginger Fizz (Juicy pineapple infused with a hint of ginger for a vibrant tropical cooler.),Emerald River Cooler (A cool green citrus beverage with refreshing herbal undertones and a smooth finish.)
,"Virgin Mary (A savoury blend of fresh tomato juice, herbs, and spices served as a classic non-alcoholic mocktail.)","Virgin Mary (A savoury blend of fresh tomato juice, herbs, and spices served as a classic non-alcoholic mocktail.)",Hawaiian Beach Delight (A tropical fusion of exotic fruit flavours inspired by refreshing island breezes.)
,"Cucumber Mint Refresher (Fresh cucumber and mint combined into a crisp, cooling beverage for ultimate refreshment.)","Cucumber Mint Refresher (Fresh cucumber and mint combined into a crisp, cooling beverage for ultimate refreshment.)",Ice on Fire Fusion (A bold fusion of cooling mint and lively citrus delivering an exciting flavour experience.)
,"Jamun Twist (Seasonal) (Seasonal jamun blended into a tangy, refreshing cooler bursting with rich fruity flavours.)","Jamun Twist (Seasonal) (Seasonal jamun blended into a tangy, refreshing cooler bursting with rich fruity flavours.)","Kala Khatta Chill (A tangy Indian black berry cooler with a sweet, spicy, and refreshing finish.)"
,,Passion Fruit Paradise (Exotic passion fruit blended into a vibrant tropical cooler with a refreshing citrus finish.),Kiwi Blossom Cooler (Exotic kiwi blended into a refreshing tropical beverage with a smooth fruity taste.)
,,"Tropical Sunset (A refreshing fusion of tropical fruits offering a smooth, colourful, and exotic indulgence.)",Kiwi Mint Mojito (Fresh kiwi and mint combined with sparkling soda for a crisp mojito-style cooler.)
,,"Berry Basil Sparkler (A delightful blend of mixed berries and fresh basil creating a sophisticated, refreshing cooler.)",Lavender Mint Mojito (Delicate lavender infused with fresh mint for an elegant and refreshing mocktail.)
,,,Classic Lemon Iced Tea (Refreshing black tea infused with fresh lemon for a perfectly balanced cooler.)
,,,Lychee Cordial Refresher (Sweet lychee cordial blended into a smooth and refreshing tropical beverage.)
,,,Lychee Lime Float (A refreshing blend of juicy lychee and zesty lime with a crisp finish.)
,,,Masala Soda Twist (Sparkling soda infused with Indian spices and fresh lime for a refreshing classic.)
,,,Midnight Beauty Cooler (A rich berry-inspired cooler with deep fruity flavours and a refreshing finish.)
,,,Mint Iced Tea Refresher (Classic iced tea infused with fresh mint for a cool and revitalising beverage.)
,,,Tender Coconut Hydrator (Naturally refreshing tender coconut water served fresh for pure tropical hydration.)
,,,Orange Blossom Spritz (A fragrant orange-infused cooler with delicate floral notes and citrus freshness.)
,,,"Orange Citrus Splash (Fresh orange flavours blended into a bright, zesty, and refreshing cooler.)"
,,,Peach Pina Colada Delight (A creamy tropical blend of peach and coconut with a smooth island-inspired finish.)
,,,Classic Pina Colada (A rich and creamy fusion of pineapple and coconut creating a timeless tropical favourite.)
,,,Pink Panther Punch (A vibrant fruity cooler with a refreshing blend of sweet berries and citrus flavours.)
,,,
,,,
Warm Infusions,Choose Any 2,Choose Any 2,Choose Any 4
,Masala Chai (A traditional Indian tea brewed with aromatic spices and premium tea leaves for a comforting experience.),Masala Chai (A traditional Indian tea brewed with aromatic spices and premium tea leaves for a comforting experience.),"Classic Brewed Coffee (Freshly brewed premium coffee offering a rich aroma and a smooth, satisfying finish.)"
,Elaichi Chai (Rich Indian tea delicately infused with fragrant cardamom for a smooth and refreshing flavour.),Elaichi Chai (Rich Indian tea delicately infused with fragrant cardamom for a smooth and refreshing flavour.),"Caffè Americano Classic (Bold espresso blended with hot water for a smooth, full-bodied coffee experience.)"
,"Adrak Chai (Fresh ginger brewed with premium tea leaves, offering a warm and invigorating cup.)","Adrak Chai (Fresh ginger brewed with premium tea leaves, offering a warm and invigorating cup.)",Caffè Latte Supreme (Velvety espresso combined with steamed milk for a rich and creamy indulgence.)
,"Tulsi Ginger Tea (A soothing blend of holy basil and fresh ginger, crafted for warmth and wellness.)","Tulsi Ginger Tea (A soothing blend of holy basil and fresh ginger, crafted for warmth and wellness.)","Cappuccino Velvet (A perfect harmony of espresso, steamed milk, and silky foam with a luxurious finish.)"
,Lemon Honey Tea (A refreshing infusion of lemon and natural honey in warm tea for a revitalising beverage.),Lemon Honey Tea (A refreshing infusion of lemon and natural honey in warm tea for a revitalising beverage.),Café Hut Signature Blend (A specially crafted house blend delivering a rich aroma and distinctive coffee flavour.)
,"Green Tea (Premium green tea leaves brewed to perfection, delivering a light and refreshing taste.)","Green Tea (Premium green tea leaves brewed to perfection, delivering a light and refreshing taste.)",Espresso Intense Shot (A concentrated shot of premium espresso with a bold aroma and robust character.)
,"Kashmiri Kahwa (An aromatic Kashmiri green tea infused with saffron, almonds, and exotic spices.)","Kashmiri Kahwa (An aromatic Kashmiri green tea infused with saffron, almonds, and exotic spices.)",Espresso Macchiato Classic (Rich espresso topped with a touch of velvety milk foam for a balanced finish.)
,"Saffron Almond Milk (Warm, creamy milk enriched with premium saffron and almonds for a royal indulgence.)","Saffron Almond Milk (Warm, creamy milk enriched with premium saffron and almonds for a royal indulgence.)",Kesar Dry Fruit Kadai Milk Royale (Traditional kadai milk enriched with saffron and premium dry fruits for a royal indulgence.)
,"Hot Chocolate Delight (Rich, velvety hot chocolate crafted with premium cocoa for a luxurious treat.)","Hot Chocolate Delight (Rich, velvety hot chocolate crafted with premium cocoa for a luxurious treat.)",Khajoor Infused Kadai Milk (Rich slow-cooked milk blended with natural dates for a wholesome and flavourful delight.)
,South Indian Filter Coffee (Authentic slow-brewed filter coffee with a rich aroma and perfectly balanced flavour.),South Indian Filter Coffee (Authentic slow-brewed filter coffee with a rich aroma and perfectly balanced flavour.),"Munacca Rich Kadai Milk (Creamy kadai milk infused with premium munacca, offering a rich and nourishing beverage.)"
,,"Cinnamon Spice Tea (Premium tea infused with aromatic cinnamon for a warm, comforting, and flavourful cup.)",Chilled Coffee Creations (An assortment of refreshing cold coffee specialities crafted for a smooth and indulgent experience.)
,,"Espresso Italiano (A bold and aromatic shot of premium coffee, brewed in authentic Italian style.)",Signature Hot Coffee Selection (A curated selection of premium hot coffees brewed to satisfy every coffee lover.)
,,Café Latte (Smooth espresso blended with velvety steamed milk for a rich and creamy coffee experience.),Handi Brewed Heritage Tea (Traditional tea slow-brewed in an earthen handi for an authentic and aromatic flavour.)
,,,"Marwadi Handi Tea Special (An authentic Marwadi-style handi tea, slow-cooked for a rich, robust, and traditional taste.)"
,,,Tandoori Smoked Chai (Classic masala tea infused with a signature smoky tandoori aroma for a unique experience.)
,,,"Kashmiri Kahwa Elixir (An elegant infusion of Kashmiri green tea, saffron, almonds, and aromatic spices.)"
,,,
,,,
Royal Soup Atelier,Choose Any 2,Choose Any 3,Choose Any 4
,Tomato Dhaniya Shorba (A comforting tomato broth infused with fresh coriander and delicate Indian spices.),Tomato Dhaniya Shorba (A comforting tomato broth infused with fresh coriander and delicate Indian spices.),"Almond Garden Velouté (A velvety blend of fresh vegetables and roasted almonds, creating a rich and nourishing soup.)"
,Sweet Corn Royale (A rich and creamy sweet corn soup prepared with tender kernels and subtle seasonings.),Sweet Corn Royale (A rich and creamy sweet corn soup prepared with tender kernels and subtle seasonings.),Sweet Corn Royale (A rich and creamy sweet corn soup prepared with tender kernels and subtle seasonings.)
,"Vegetable Clear Soup (A light, nourishing broth with fresh vegetables and delicate aromatic herbs.)","Vegetable Clear Soup (A light, nourishing broth with fresh vegetables and delicate aromatic herbs.)",Asian Greens Infusion (A light and flavourful soup featuring fresh Asian greens in a delicate aromatic broth.)
,Hot & Sour Vegetable Soup (A vibrant blend of fresh vegetables balanced with tangy and spicy flavours.),Hot & Sour Vegetable Soup (A vibrant blend of fresh vegetables balanced with tangy and spicy flavours.),"Asparagus Corn Essence (Tender asparagus and sweet corn blended into a smooth, wholesome gourmet soup.)"
,Lemon Coriander Soup (A refreshing soup infused with fresh coriander and a hint of zesty lemon.),Lemon Coriander Soup (A refreshing soup infused with fresh coriander and a hint of zesty lemon.),Broccoli Spinach Velouté (A creamy blend of fresh broccoli and spinach with a luxuriously smooth finish.)
,Palak Shorba (A velvety spinach soup delicately seasoned with traditional Indian spices.),Palak Shorba (A velvety spinach soup delicately seasoned with traditional Indian spices.),Burmese Khao Suey Bowl (A comforting Burmese coconut broth served with authentic flavours and delightful accompaniments.)
,Green Peas Soup (A smooth and creamy soup crafted from tender green peas with subtle herbs.),Green Peas Soup (A smooth and creamy soup crafted from tender green peas with subtle herbs.),"Carrot Orange Elixir (A vibrant blend of sweet carrots and fresh orange, offering a refreshing gourmet soup.)"
,Creamy Tomato Soup (Rich tomato soup finished with fresh cream for a smooth and comforting taste.),Creamy Tomato Soup (Rich tomato soup finished with fresh cream for a smooth and comforting taste.),"Spinach Cream Delight (Creamy spinach soup delicately seasoned for a rich, velvety, and comforting taste.)"
,Manchow Vegetable Soup (A spicy Indo-Chinese vegetable soup served with crispy fried noodles.),Manchow Vegetable Soup (A spicy Indo-Chinese vegetable soup served with crispy fried noodles.),Tomato Velvet Cream (A smooth tomato soup enriched with fresh cream for a luxurious finish.)
,Dal Pudina Shorba (A flavourful lentil broth infused with fresh mint and aromatic Indian spices.),Dal Pudina Shorba (A flavourful lentil broth infused with fresh mint and aromatic Indian spices.),Pudina Dal Shorba (A flavourful lentil broth infused with fresh mint and aromatic Indian spices.)
,,Cream of Mushroom Cappuccino (A velvety mushroom soup finished with a creamy froth for a refined gourmet experience.),Green Pea Silk Soup (A silky smooth soup crafted from tender green peas with subtle herbs.)
,,Roasted Pumpkin Soup (Slow-roasted pumpkin blended into a silky soup with delicate herbs and warm spices.),Hot & Sour Oriental Broth (A vibrant Oriental soup balancing bold spicy and tangy flavours with fresh vegetables.)
1,,"Broccoli Almond Velouté (A luxurious blend of fresh broccoli and roasted almonds, finished with a smooth velvety texture.)",Lauki Shorba Essence (A light and nourishing bottle gourd soup delicately flavoured with traditional spices.)
,,,"Minestrone Italiano (A classic Italian vegetable soup featuring seasonal vegetables, herbs, and rich tomato broth.)"
,,,"South Indian Rasam Classic (A traditional South Indian spiced broth infused with tamarind, tomatoes, and aromatic spices.)"
,,,Tamatar Dhaniya Shorba (A comforting tomato broth infused with fresh coriander and delicate Indian spices.)
,,,"Thai Clear Herbal Broth (A fragrant Thai-style clear soup infused with herbs, vegetables, and refreshing citrus notes.)"
,,,"Tom Yum Exotic Broth (A classic Thai soup with aromatic herbs, tangy flavours, and a refreshing spicy finish.)"
,,,Tomato Basil Infusion (A smooth tomato soup delicately enhanced with fragrant basil and aromatic herbs.)
,,,Tomato Coriander Shorba (A flavourful tomato broth infused with fresh coriander and traditional Indian seasonings.)
,,,"Tomato Rasam Fusion (A vibrant fusion of tomato and South Indian rasam spices, offering a warm and tangy delight.)"
,,,
,,,
,,,
Appetizers,Choose Any 4,Choose Any 6,Choose Any 8
,Angara Paneer Tikka (Cottage cheese marinated in smoky spices and charcoal-grilled to perfection.),Angara Paneer Tikka (Cottage cheese marinated in smoky spices and charcoal-grilled to perfection.),Ancient Chilli Paneer Bites (Crispy paneer tossed in a bold chilli sauce with aromatic Oriental seasonings.)
,"Haryali Paneer Tikka (Soft paneer marinated with fresh mint, coriander, and aromatic herbs.)","Haryali Paneer Tikka (Soft paneer marinated with fresh mint, coriander, and aromatic herbs.)",Burnt Chilli Cottage Cheese Cubes (Smoky paneer cubes glazed with burnt chilli flavours for a fiery gourmet experience.)
,Veg Seekh Kebab (A flavourful blend of vegetables and spices grilled on skewers for a smoky finish.),Veg Seekh Kebab (A flavourful blend of vegetables and spices grilled on skewers for a smoky finish.),Crispy Chilli Baby Corn (Golden baby corn tossed in spicy chilli sauce with a delightful crispy texture.)
,Hara Bhara Kebab (A wholesome spinach and green pea kebab with a crisp golden exterior.),Hara Bhara Kebab (A wholesome spinach and green pea kebab with a crisp golden exterior.),Chilli Tofu Dumpling Fusion (Soft tofu and green vegetable dumplings tossed in a flavourful chilli glaze.)
,Crispy Baby Corn (Golden-fried baby corn tossed with subtle seasonings for a crunchy delight.),Crispy Baby Corn (Golden-fried baby corn tossed with subtle seasonings for a crunchy delight.),Oriental Cigar Rolls (Crispy rolls filled with seasoned vegetables and authentic Oriental flavours.)
,Paneer Pakoda (Soft cottage cheese coated in spiced gram flour batter and fried until golden.),Paneer Pakoda (Soft cottage cheese coated in spiced gram flour batter and fried until golden.),Crispy Spaghetti Rolls (Crunchy rolls stuffed with seasoned spaghetti and vegetables for a unique fusion bite.)
,"Mini Dal Kachori (Crispy bite-sized pastry stuffed with spiced lentil filling, inspired by traditional flavours.)","Mini Dal Kachori (Crispy bite-sized pastry stuffed with spiced lentil filling, inspired by traditional flavours.)",Golden Spring Rolls (Delicate pastry rolls filled with fresh vegetables and fried until perfectly golden.)
,Matar Samosa (Golden pastry filled with seasoned green peas and aromatic Indian spices.),Matar Samosa (Golden pastry filled with seasoned green peas and aromatic Indian spices.),Crispy Corn Spinach Dumplings (Golden dumplings filled with sweet corn and spinach for a crunchy delight.)
,Tandoori Aloo (Baby potatoes marinated in traditional spices and roasted in the tandoor.),Tandoori Aloo (Baby potatoes marinated in traditional spices and roasted in the tandoor.),Classic Dry Manchurian (Crispy vegetable dumplings tossed in a savoury Indo-Chinese seasoning.)
,"Veg Cutlet Royale (A crisp vegetable cutlet prepared with fresh vegetables, herbs, and aromatic spices.)","Veg Cutlet Royale (A crisp vegetable cutlet prepared with fresh vegetables, herbs, and aromatic spices.)",Golden Fried Baby Corn (Lightly battered baby corn fried to a crisp golden perfection.)
,Achari Paneer Tikka (Paneer marinated with traditional pickling spices for a tangy tandoori delicacy.),Achari Paneer Tikka (Paneer marinated with traditional pickling spices for a tangy tandoori delicacy.),Honey Chilli Cauliflower Bites (Crispy cauliflower florets coated in a sweet and spicy honey chilli glaze.)
,"Malai Paneer Tikka (Creamy paneer marinated with fresh cream, cheese, and delicate spices.)","Malai Paneer Tikka (Creamy paneer marinated with fresh cream, cheese, and delicate spices.)",Japanese Tempura Crisp (Seasonal vegetables coated in delicate tempura batter and fried to light crispness.)
,Tandoori Mushroom (Juicy mushrooms marinated in aromatic spices and chargrilled in the tandoor.),Tandoori Mushroom (Juicy mushrooms marinated in aromatic spices and chargrilled in the tandoor.),"Salt & Pepper Mushroom Toss (Juicy mushrooms tossed with cracked pepper, herbs, and Oriental seasonings.)"
,Stuffed Tandoori Mushroom (Mushrooms filled with a rich savoury stuffing and grilled to perfection.),Stuffed Tandoori Mushroom (Mushrooms filled with a rich savoury stuffing and grilled to perfection.),Sesame Chilli Potato Bites (Crispy potato wedges glazed with chilli sauce and toasted sesame seeds.)
,Dahi Ke Sholey (Crispy rolls stuffed with a creamy hung curd filling and mild Indian spices.),Dahi Ke Sholey (Crispy rolls stuffed with a creamy hung curd filling and mild Indian spices.),Thai Corn Fritter Bites (Golden corn fritters infused with authentic Thai herbs and aromatic spices.)
,Corn Cheese Balls (Golden-fried bites of sweet corn and melted cheese with a crispy crust.),Corn Cheese Balls (Golden-fried bites of sweet corn and melted cheese with a crispy crust.),Thai Spiced Tofu Cubes (Soft tofu tossed with fragrant Thai herbs and exotic spices.)
,Cheese Chilli Cigar Rolls (Crispy rolls filled with creamy cheese and mildly spiced vegetables.),Cheese Chilli Cigar Rolls (Crispy rolls filled with creamy cheese and mildly spiced vegetables.),Sweet Chilli Potato Toss (Crispy potatoes coated in a sweet chilli glaze with a hint of spice.)
,Crispy Vegetable Spring Rolls (Thin pastry rolls stuffed with seasoned vegetables and fried until perfectly crisp.),Crispy Vegetable Spring Rolls (Thin pastry rolls stuffed with seasoned vegetables and fried until perfectly crisp.),Veg Salt & Pepper Toss (Crisp seasonal vegetables seasoned with cracked pepper and aromatic spices.)
,Vegetable Manchurian Dry (Crispy vegetable dumplings tossed in a flavourful Indo-Chinese sauce with aromatic seasonings.),Vegetable Manchurian Dry (Crispy vegetable dumplings tossed in a flavourful Indo-Chinese sauce with aromatic seasonings.),Steamed Vegetable Dim Sum (Delicate handcrafted dumplings filled with finely seasoned fresh vegetables.)
,Cheese Stuffed Jalapeno Poppers,Cheese Stuffed Jalapeño Poppers (Spicy jalapeños filled with creamy cheese and coated in a crisp golden crust.),Vietnamese Rice Roll Wraps (Light rice paper rolls filled with crisp vegetables and fresh herbs.)
,,"Spinach Corn Tikki (A delicious blend of spinach and sweet corn, pan-fried to a golden finish.)",Bok Choy Chestnut Dumplings (Steamed dumplings filled with crunchy water chestnuts and tender bok choy.)
,,Masala Cheese Croquettes (Crispy croquettes filled with melted cheese and delicately spiced potato.),24 Carat Truffle Mousse Bites (Luxurious truffle mousse crafted into elegant bite-sized gourmet appetisers.)
,,Crispy Lotus Stem (Thinly sliced lotus stem fried until crisp and tossed with flavourful seasonings.),Baingan Bharta Cornetto Delight (Smoky roasted eggplant served in a crisp cornetto for a creative presentation.)
,,Paneer 65 (Crispy paneer cubes tossed in a spicy South Indian-style seasoning for a bold flavour.),Beetroot Royal Tikki (A vibrant beetroot patty delicately spiced and pan-seared until golden.)
,,Tandoori Broccoli (Fresh broccoli florets marinated in creamy spices and roasted in the traditional tandoor.),Papad Pesto Paneer Roll (Crispy papad rolls filled with basil pesto and creamy paneer.)
,,,Dal Makhani Fondue Pot (Creamy Dal Makhani served fondue-style with artisan accompaniments.)
,,,Green Apple Fusion Tikki (A unique tikki blending tart green apples with aromatic Indian spices.)
,,,"Kaffir Lime Pav & Ricotta Vada (Ricotta vada infused with kaffir lime, served with soft pav for a modern twist.)"
,,,Paneer Khurchan Golgappa Shots (Crisp golgappas filled with flavourful paneer khurchan for an exciting fusion bite.)
,,,"Panko Achari Mirchi Crisp (Pickled chillies stuffed and coated with panko crumbs, fried to golden perfection.)"
,,,Pav Bhaji Fondue Delight (Classic Mumbai pav bhaji presented as a rich and interactive fondue experience.)
,,,Polenta Malai Corn Crunch (Creamy malai corn coated with crisp polenta for a delightful gourmet bite.)
,,,Kathal Taco Fusion (Tender pulled jackfruit served in soft tacos with vibrant Indian-inspired flavours.)
,,,Deconstructed Paneer Pasanda (A contemporary interpretation of the classic Paneer Pasanda with elegant presentation.)
